證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3605","宏致","1487398","48917874","32.40","33.20","32.40","33.20","0.8000","800"
"3607","谷崧","353008","4570401","13.20","13.20","12.80","12.85","-0.2000","164"
"3617","碩天","338698","28002965","81.50","83.10","81.50","83.00","1.7000","266"
"3622","洋華","2189472","52896755","22.60","24.50","22.60","24.50","2.2000","854"
"3645","達邁","1206338","69791512","57.60","58.50","57.30","57.70","0.2000","680"
"3653","健策","2790672","762253457","271.50","276.00","268.50","273.00","3.0000","2050"
"3661","世芯-KY","8766545","5412154415","606.00","631.00","600.00","603.00","15.0000","7491"
"3665","貿聯-KY","1903538","452246303","236.50","240.00","235.50","238.00","5.5000","1466"
"3669","圓展","1428130","126525926","89.60","89.60","88.00","88.90","-0.7000","965"
"3673","TPK-KY","3767640","173197639","46.60","46.60","45.65","45.75","-0.5500","2511"
"3679","新至陞","983618","110560523","113.50","115.00","110.00","110.00","-2.5000","781"
"3682","亞太電","3740263","34967536","9.37","9.45","9.33","9.35","-0.0100","1231"
"3686","達能","6606131","122169204","17.40","18.90","16.70","18.90","1.7000","2775"
"3694","海華","20799542","742969812","37.50","38.30","33.50","35.00","-1.0500","10604"
"3698","隆達","6004948","120362795","19.80","20.40","19.60","20.00","0.4000","2041"
"3701","大眾控","6202","81897","13.20","13.25","13.20","13.25","0.0500","26"
"3702","大聯大","3439069","139197510","40.50","40.70","40.30","40.35","0.0500","2038"
"3702A","大聯大甲特","171877","8592569","49.95","50.00","49.95","50.00","0.1000","81"
"3703","欣陸","5326425","133632948","25.15","25.70","24.60","25.30","0.2000","2642"
"3704","合勤控","2625306","63398211","24.30","24.45","23.95","23.95","-0.2500","1372"
"3705","永信","246131","10844811","44.00","44.50","43.85","44.00","0.0000","186"
"3706","神達","4004814","116370411","29.20","29.20","29.00","29.00","-0.1000","1936"
"3708","上緯投控","6352805","1037031001","162.50","167.50","160.50","161.00","-1.0000","4729"
"3711","日月光投控","20226344","1466277120","72.70","73.50","71.80","72.00","0.1000","10305"
"3712","永崴投控","860202","32432310","37.80","38.10","37.50","37.50","0.0000","550"
"4104","佳醫","317249","18070831","56.90","57.20","56.70","57.10","0.3000","214"
"4106","雃博","406463","11892245","29.40","29.75","29.10","29.15","-0.3500","290"
"4108","懷特","605605","14227207","23.90","23.90","23.35","23.40","-0.4500","377"
"4119","旭富","316719","38160592","122.00","122.00","120.00","120.00","-1.5000","267"
"4133","亞諾法","2616497","160579120","61.70","62.50","59.80","61.50","-0.7000","1729"
"4137","麗豐-KY","363585","70915306","193.50","197.00","192.50","196.50","4.0000","321"
"4141","龍燈-KY","86336","960429","11.05","11.20","11.00","11.20","0.1000","82"
"4142","國光生","15413671","936570954","60.80","62.20","58.50","61.30","0.7000","8740"
"4148","全宇生技-KY","133050","4728585","34.80","36.00","34.80","36.00","1.1000","80"
"4155","訊映","1000848","28961140","29.10","29.30","28.75","29.00","-0.1000","582"
"4164","承業醫","172514","6748342","39.40","39.40","39.00","39.10","0.1000","131"
"4190","佐登-KY","195001","17567990","90.20","90.50","89.50","90.10","0.0000","136"
"4306","炎洲","6921850","111655577","16.05","16.40","15.90","16.25","0.4000","2162"
"4414","如興","1749208","19646758","11.35","11.35","11.10","11.30","0.0000","601"
"4426","利勤","152597","4231726","28.15","28.15","27.60","27.80","-0.1000","125"
"4438","廣越","116520","12074130","103.00","104.00","103.00","103.50","0.5000","103"
"4439","冠星-KY","92000","12708500","139.00","139.50","137.00","139.00","2.5000","80"
"4526","東台","532842","7556053","14.15","14.30","14.05","14.25","0.1000","247"
"4532","瑞智","1025141","21190154","20.65","20.95","20.40","20.75","0.1500","599"
"4536","拓凱","256377","42427018","169.00","169.00","163.50","164.00","-2.0000","196"
"4540","全球傳動","87050","4008957","46.50","46.50","45.90","45.90","-0.3000","75"
